"Batter","Total_PA","Total_AB","Walks","xOBP","xBA","xSLG","K_percentage","BB_percentage","Strikeouts","Hits","Singles","Doubles","Triples","HomeRuns","xHomeRuns","x1B","x2B","x3B","Errors","OBP","BA","SLG","OPS","xOPS","wOBA","xWOBA","xBA_plus","xOBP_plus","xSLG_plus","xOPS_plus","K_percentage_plus","BB_percentage_plus","wOBA_plus","xWOBA_plus"
"Carson Mccusker",146,138,7,0.375330804545904,0.346364474374652,0.75791267700944,0.164383561643836,0.0479452054794521,24,54,31,8,0,15,15.0286830073381,22.0841279758284,9.6633700194844,1.02211646105101,3,0.417808219178082,0.391304347826087,0.77536231884058,1.19317053801866,1.13324348155534,0.476741654769772,0.446247001048532,143.089789087367,129.273678121095,194.791435090293,166.793885586793,74.8697292621146,71.4066273548815,160.845406229373,152.433971170452
"Matthew Warkentin",235,225,9,0.343986340788592,0.319274622601418,0.730469817847483,0.285106382978723,0.0382978723404255,67,65,34,12,1,18,24.9104132345998,30.7029839170011,14.6591066408711,1.56428629284701,2,0.314893617021277,0.288888888888889,0.591111111111111,0.906004728132388,1.07445615863607,0.363595807143447,0.420677988541461,131.898453187117,118.477830645843,187.738335067964,158.141406068893,129.853846035816,57.0384853156926,122.67171269422,143.699825941013
"Josh Rehwaldt",165,153,11,0.346449660687157,0.301726758257392,0.71940477267017,0.266666666666667,0.0666666666666667,44,39,20,9,0,10,17.6990968466541,18.6212841106803,8.88018044690055,0.963632609146088,2,0.303030303030303,0.254901960784314,0.509803921568627,0.81283422459893,1.06585443335733,0.334761499188054,0.417975281410622,124.64909479823,119.326262002448,184.894503456739,156.875380536566,121.455338580764,99.2892151791686,112.943454359698,142.776605437802
"Brendon Dadson",192,161,29,0.402648559180998,0.300052940141315,0.511519576312203,0.145833333333333,0.151041666666667,28,46,24,18,1,3,6.92035663004304,29.1770092999169,11.1372563321994,1.07390110059227,0,0.390625,0.285714285714286,0.46583850931677,0.85646350931677,0.914168135493201,0.378948799388872,0.396780836624576,123.957608520278,138.68262238284,131.465847411062,134.549774942692,66.4208882863551,224.952128140304,127.851579504357,135.536773286776
"Andrew Czech",263,222,39,0.375558994852261,0.269243313721372,0.57034369281483,0.269961977186312,0.14828897338403,71,51,28,11,0,12,17.4058661317617,29.0220475501987,12.061518164906,1.28258379927821,1,0.342205323193916,0.22972972972973,0.441441441441441,0.783646764635358,0.945902687667091,0.343847752544064,0.395724463893095,111.229562567385,129.352272789737,146.584256720005,139.220553421096,122.95621253661,220.852436805375,116.009018481331,135.17592584104
"Anthony Brocato",275,258,16,0.335350734803497,0.295431984771169,0.650356809284794,0.269090909090909,0.0581818181818182,74,67,28,14,3,22,24.1566572286378,34.6720841122599,15.684788421526,1.70792230853792,2,0.301818181818182,0.25968992248062,0.593023255813954,0.894841437632135,0.985707544088291,0.356283582605784,0.39275478483226,122.048603474394,115.503503638902,167.148459240973,145.079141426036,122.559478022407,86.6524059745472,120.204678999065,134.161510122209
"Trey Hair",138,127,9,0.335284564526416,0.293458818146814,0.605272058777641,0.22463768115942,0.0652173913043478,31,36,23,6,0,7,10.1264930415272,18.7299508094563,7.60484967179041,0.807976381871568,3,0.326086956521739,0.283464566929134,0.496062992125984,0.822149948647723,0.940556623304057,0.343064998454287,0.378221392338129,121.233450602198,115.480712876735,155.561209788135,138.433704996886,102.312921087056,97.1307539796215,115.74492911912,129.197033661294
"Brennan Price",265,242,22,0.349050300167752,0.291315411340721,0.560723453713172,0.264150943396226,0.0830188679245283,70,65,30,16,1,18,15.3478332043114,37.6097535671675,15.9282389047518,1.61250386822373,0,0.328301886792453,0.268595041322314,0.566115702479339,0.894417589271792,0.909773753880925,0.365921235498138,0.37650992140131,120.347968254835,120.221989789913,144.111755286307,133.902997797452,120.309533499813,123.643173619342,123.456276964251,128.612410547124
"Aaron Altherr",283,264,19,0.328932560585004,0.280636040324076,0.600840130828286,0.293286219081272,0.0671378091872792,83,70,40,14,1,15,21.3316786705951,34.0243447235173,16.9249386215612,1.80695262988239,2,0.314487632508834,0.265151515151515,0.496212121212121,0.810699753720955,0.92977269141329,0.338272048636799,0.375920398869619,115.936115829391,113.292917729093,154.422158243467,136.84649630675,133.579413898455,99.9909057458058,114.12786051872,128.411034940366
"James Nelson",157,144,12,0.344358841957769,0.292113459634512,0.568838295878176,0.229299363057325,0.0764331210191083,36,57,35,12,1,9,9.69075696177474,22.5083988465308,8.9542592243651,0.910923154699124,1,0.439490445859873,0.395833333333333,0.680555555555556,1.12004600141543,0.913197137835945,0.462537691422286,0.375296645272172,120.677657268832,118.606129724045,146.197354061471,134.406860842779,104.436119161803,113.834768995225,156.053204348468,128.197966308717
"Pat Kivlehan",306,291,11,0.316089206180652,0.294581776945978,0.614828384292672,0.196078431372549,0.0359477124183007,60,81,39,18,2,22,23.2692621650042,41.0990952894121,19.3259030308513,2.02903660601201,2,0.300653594771242,0.278350515463918,0.580756013745705,0.881409608516946,0.930917590473324,0.350560717478682,0.369452629851412,121.697366360349,108.869332872337,158.017284765807,137.015005692364,89.3053960152674,53.5383023024929,118.273871072057,126.20170308213
"Ruben Castro",243,203,36,0.385462445599547,0.284075735372857,0.445308850681836,0.123456790123457,0.148148148148148,30,63,45,14,0,4,5.69595060485311,37.5193555101909,13.2616657381284,1.19040242751755,0,0.407407407407407,0.310344827586207,0.438423645320197,0.845831052727605,0.830771296281384,0.380811555505168,0.369029909170626,117.357119643202,132.763278464429,114.449002786166,122.275199280713,56.2293234170202,220.642700398152,128.480045175931,126.057305490849
"Peter Zimmermann",256,229,25,0.347935495590443,0.279788152275779,0.535744283941283,0.22265625,0.09765625,57,73,42,14,0,17,13.8979798629231,34.6836650617238,14.0596693303815,1.43017261612493,0,0.3828125,0.318777292576419,0.602620087336245,0.985432587336245,0.883679779531726,0.407898510363922,0.36887007629275,115.58583705955,119.83802213698,137.691849042715,130.062415042781,101.410463365774,145.44318629761,137.618773068036,126.002708014023
"Alex Toral",152,131,21,0.357799086757436,0.254850848756719,0.476057426939504,0.256578947368421,0.138157894736842,39,24,13,5,0,6,6.65277547238101,18.4718591660944,7.50191777250794,0.758908776146882,0,0.296052631578947,0.183206106870229,0.358778625954198,0.654831257533146,0.833856513696939,0.295419794282601,0.36202018593148,105.283760013709,123.235299136886,122.3517064589,122.729290046727,116.860810969978,205.763834088409,99.6701596014924,123.662846933955
"Kyle Crowl",290,255,33,0.341256806177902,0.258684210947418,0.516319762392535,0.286206896551724,0.113793103448276,83,63,37,11,0,15,15.9072448098279,33.6438628397959,14.8514010949143,1.56196504705346,4,0.331034482758621,0.247058823529412,0.466666666666667,0.797701149425287,0.857576568570437,0.341645051098852,0.360498981905602,106.867395253301,117.537708027585,132.699545122753,126.220472818194,130.355083218147,169.476419012719,115.265860409842,123.143217289206
"Bren Spillane",251,232,18,0.319671748854556,0.268265555872817,0.553911957236404,0.294820717131474,0.0717131474103586,74,51,24,13,2,12,16.7245339696366,30.8272236147471,13.275339548777,1.4105118293328,4,0.274900398406374,0.219827586206897,0.448275862068966,0.72317626047534,0.87358370609096,0.30087008975153,0.356779554716486,110.825632099109,110.103253624036,142.361129898884,128.576447247013,134.27831257435,106.805131866038,101.509006658382,121.872694337603
"Oraj Anu",278,259,18,0.321763334810851,0.275869525395431,0.52759415231142,0.237410071942446,0.0647482014388489,66,72,47,12,0,13,15.5717457428953,38.9605958305634,15.3542898653604,1.56357563859741,2,0.323741007194245,0.277992277992278,0.474903474903475,0.798644482097719,0.849357487122271,0.337372532559053,0.35058274426144,113.966977345853,110.823650155315,135.597180508313,125.010765854945,108.13020251345,96.4319715768904,113.824377432047,119.755919493103
